Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-10-06,409,409,397.2,401,3322
2021-10-07,400,405,395.2,397.2,3375
2021-10-08,400,424,396,423.4,8147
2021-10-11,424,428.8,418.8,420.6,5215
2021-10-12,421,423.8,412.8,413,7547
2021-10-13,418,420.6,414.6,419.6,1111
2021-10-14,419.4,427.8,419.4,425,3236
2021-10-15,423,427.2,418.4,418.4,1440
2021-10-18,418.4,423.2,414,414,3129
2021-10-19,414,423.4,414,422.6,1513
2021-10-20,422,426.8,419.8,426.8,2745
2021-10-21,426.6,439.2,426.6,439.2,7353
2021-10-22,440,448.6,436.4,436.4,4299
2021-10-25,436.2,443.6,430.2,432.6,2230
2021-10-26,432.6,438,423,424.2,2149
2021-10-27,423,425,411.4,419.8,3994
2021-10-28,412.2,422,412.2,419,1120
2021-10-29,421.2,421.2,413.8,416,2921
2021-11-02,418,423,416,419,1527
2021-11-03,418,420,415.6,420,9965
2021-11-04,420,438.8,412.2,438,7961
2021-11-05,438,442,428,440,2305
2021-11-08,440,444.8,432,444.8,3258
2021-11-09,444,455,442,447,7626
2021-11-10,450,459.2,449.6,459.2,7338
2021-11-12,459,459,441.4,443.8,2837
2021-11-15,443,456,440.6,440.6,3214
2021-11-16,448.6,448.6,438.4,448,1742
2021-11-17,449,449.6,443.4,448,1082
2021-11-18,448,469,435,468.2,9611
2021-11-19,468,499.6,458.6,499,24811
2021-11-22,495,525,489.8,522,18531
2021-11-23,519,521,501,505.5,6910
2021-11-24,502,518.5,502,516,5765
2021-11-25,515.5,521,509.5,521,3774
2021-11-26,505.5,516,493.4,499,6743
2021-11-29,499,512.5,489,489.2,3054
2021-11-30,486.4,486.4,478.4,484,4573
2021-12-01,481,510,481,509,5346
2021-12-02,509,509,483.4,485,3600
2021-12-03,492,510.5,491,509.5,5461
2021-12-06,506.5,528.5,506.5,520.5,9284
2021-12-07,520,526,514.5,526,4331
2021-12-08,520,528,517,526,2423
2021-12-09,528,543,520.5,525,4999
2021-12-10,530,551.5,517.5,544,7773
2021-12-13,543,543.5,528,543.5,5818
2021-12-14,542,542,525,535,5529
2021-12-15,535,536,521.5,521.5,6879
2021-12-16,523,530.5,516.5,527,2241
2021-12-17,527,541.5,514.5,534.5,11824
2021-12-20,534.5,544.5,528,539,16420
2021-12-21,539,542,530.5,541,5431
2021-12-22,539,554,536,554,5221
2021-12-23,550,562,540.5,545.5,13423
2021-12-27,540,557.5,536.5,557.5,6152
2021-12-28,557.5,558,545,545,6794
2021-12-29,546,557.5,546,556,2516
2021-12-30,555,556,549,554,3922
2022-01-03,550,554,534,554,4068
2022-01-04,554,555,545,555,3165
2022-01-05,554,558.5,548.5,558.5,1824
2022-01-07,560,565,546,560,6425
2022-01-10,560,565,552,563,6376
2022-01-11,565,572,561,570.5,3897
2022-01-12,575,589,566.5,571.5,4450
2022-01-13,571.5,578,561.5,564.5,2638
2022-01-14,574.5,575,549.5,560,3980
2022-01-17,553,579,550,575,4506
2022-01-18,574,577,560,572,3954
2022-01-19,571.5,571.5,560,563,3765
2022-01-20,560,562,545.5,560,5532
2022-01-21,560,563,550,560,8196
2022-01-24,555,556.5,525,542,31065
2022-01-25,540,557,518.5,553,13634
2022-01-26,553,565,548.5,560,11452
2022-01-27,560,560,543,548,2917
2022-01-28,553,566,543,550,11301
2022-01-31,550,565,544,555.5,6549
2022-02-01,556,587,556,569,4749
2022-02-02,568,577,564,571.5,2826
2022-02-03,569.5,570,559,560,1242
2022-02-04,560,573,560,567.5,2799
2022-02-07,568,568,554,560,2061
2022-02-08,569,569,556,565,1323
2022-02-09,565,569,561.5,569,4427
2022-02-10,570,570,557,560,1999
2022-02-11,560,560,550,553,1677
2022-02-14,543,559,532,550,4990
2022-02-15,550,560,542,542,2546
2022-02-16,540.5,549.5,539,543.5,2998
2022-02-17,542,543,516,519.5,5833
2022-02-18,519,529.5,514.5,521,3231
2022-02-21,522,525,502.5,517.5,5842
2022-02-22,504,538,504,530,18505
2022-02-23,535,543.5,512,530,13898
2022-02-24,475,515.5,461.6,508,23067
2022-02-25,510.5,527.5,490.2,523.5,9278
2022-02-28,513,533.5,505,530,7213
2022-03-01,533.5,539.5,501,501,8083
2022-03-02,499.8,512,491,506.5,4073
2022-03-03,506,514,485.2,503,7608
2022-03-04,505,505,480,500,18195
2022-03-07,485,500,471,500,11409
2022-03-08,499,499,481.2,489.4,5301
2022-03-09,493.6,503.5,485,495,4457
2022-03-10,497.2,500,490,495.6,1071
2022-03-11,491,514,491,507,3086
2022-03-14,505,505,496.2,500.5,1808
2022-03-15,502,510.5,490.6,503,9516
2022-03-16,505.5,524,503.5,510.5,4515
2022-03-17,520,528.5,516,521,7781
2022-03-18,525,529,514.5,520,5314
2022-03-21,520,538.5,520,538,4476
2022-03-22,539,557,536,553.5,2499
2022-03-23,553.5,569,553.5,568,4659
2022-03-24,568,572,556,568,2272
2022-03-25,569.5,590,569.5,580,6188
2022-03-28,580,586,562.5,584,7918
2022-03-29,584,584,570,572,7567
2022-03-30,580,582,570,580,4078
2022-03-31,581.5,590,568,590,8893
2022-04-01,572,583,571.5,581.5,2655
2022-04-04,584.5,587,568.5,574,7544
2022-04-05,575,583,571,575.5,2262
2022-04-06,574.5,589,574.5,589,4515
2022-04-07,587,595,574.5,574.5,3370
2022-04-08,582,582,576.5,580,2934
2022-04-11,580,585,567,574,3863
2022-04-12,579,579,556.5,567,2749
2022-04-13,567,573,565,569,1678
2022-04-14,570,570,556,557,3563
2022-04-19,557,557,538,538,5730
2022-04-20,545,552,532,532,5458
2022-04-21,539,548,533,540,3891
2022-04-22,540,541,526,528,2440
2022-04-25,522,531,513,529,3340
2022-04-26,525,532,519,520,4092
2022-04-27,520,524,516,524,1588
2022-04-28,526,534,519,523,1708
2022-04-29,529,536,523,530,1580
2022-05-02,519,533,512,515,1648
2022-05-04,515,533,515,530,3702
2022-05-05,535,544,523,530,6934
2022-05-06,528,530,507,530,7525
2022-05-09,520,525,512,514,1810
2022-05-10,513,519,500,510,4556
2022-05-11,501,512,495.5,510,2597
2022-05-12,500,506,484,505,3694
2022-05-13,506,508,496.5,497.5,1846
2022-05-16,499.5,502,485.5,490,7686
2022-05-17,494.5,509,488.5,500,6389
2022-05-18,509,512,498.5,499,2144
2022-05-19,500,508,485.5,507,1970
2022-05-20,514,514,495,499,1469
2022-05-23,500,512,499,508,5521
2022-05-24,508,510,493,495.5,2700
2022-05-25,495.5,495.5,482,482,2054
2022-05-26,481,486.5,462,480,5272
2022-05-27,477,489.5,476.5,489,1568
2022-05-30,489,498,481.5,497,3862
2022-05-31,497,505,485,500,2613
2022-06-01,500,522,500,518,2650
2022-06-02,520,535,519,528,2672
2022-06-03,530,543,520,522,2252
2022-06-06,520,531,510,518,1885
2022-06-07,518,528,513,527,1068
2022-06-08,529,529,517,519,1820
2022-06-09,523,530,519,526,2648
2022-06-10,529,529,500,504,9130
2022-06-13,500,504,486,486,2767
2022-06-14,484,491.5,481,489,2264
2022-06-15,491,493.5,480,489.5,1533
2022-06-17,482,484,464,467.5,9108
2022-06-20,470,512,470,509,5323
2022-06-21,501,507,490,496.5,2413
2022-06-22,497,497,479.5,485,2641
2022-06-23,475,491,475,486.5,1795
2022-06-24,490,492.5,481,483.5,1400
2022-06-27,486.5,490,478.5,484.5,5548
2022-06-28,490,493,484,490,2024
2022-06-29,488,498,475.5,498,2360
2022-06-30,498,498,482,491.5,2618
2022-07-01,482,491,480,480,496
2022-07-04,481,492.5,480,492.5,704
2022-07-05,499.5,499.5,478.5,489.5,1457
2022-07-06,490,506,490,500,2513
2022-07-07,500,512,495,510,1198
2022-07-08,510,512,500,500,773
2022-07-11,500,506,499,506,906
2022-07-12,508,514,485,485.5,6306
